OBJECTID,SchoolId,EfClass,Tract,YearBuilt,NumStories,Cost,Area,Latitude,Longitude,HUSBT,SO,Name,Address,City,Zipcode,Statea,Contact,PhoneNumber,NumStudents,BackupPower,ShelterCapacity,District,Kitchen
2516,HI001620,EFS1,15003010303,1966,1,156800,896,21.483287,-157.851652,WSF1,EDU1,Waiahole Elementary - Bldg P2,48-215 WAIAHOLE VALLEY RD,KANEOHE,96744,HI,NULL,NULL,0,0,0,NULL,0
2517,HI001621,EFS1,15003000700,1964,2,2435475,13917,21.276112,-157.792563,WSF2,EDU1,Waialae Elementary PCS - Bldg A,1045 19TH AVE,HONOLULU,96816,HI,NULL,NULL,0,0,0,NULL,0
2518,HI001622,EFS1,15003000700,1965,2,3819900,12733,21.276112,-157.792563,MERBL,EDU1,Waialae Elementary PCS - Bldg B,1045 19TH AVE,HONOLULU,96816,HI,NULL,NULL,0,0,0,NULL,0
2519,HI001623,EFS1,15003009901,1966,2,2677675,15301,21.575492,-158.121635,WSF2,EDU1,Waialua Elementary - Bldg A,67-20 WAIALUA BEACH RD,WAIALUA,96791,HI,NULL,NULL,0,0,0,NULL,0
2520,HI001624,EFS1,15003009901,1993,2,2812500,9375,21.575492,-158.121635,MERBL,EDU1,Waialua Elementary - Bldg D,67-20 WAIALUA BEACH RD,WAIALUA,96791,HI,NULL,NULL,0,0,0,NULL,0
2521,HI001625,EFS1,15003009901,1972,1,2562300,8541,21.565831,-158.126461,MERBL,EDU1,Waialua High & Interm - Bldg C,67-595A KAHUI ST,WAIALUA,96791,HI,NULL,NULL,0,0,0,NULL,0
2522,HI001626,EFS1,15003009901,1955,1,1896125,10835,21.565831,-158.126461,WSF1,EDU1,Waialua High & Interm - Bldg F,67-595A KAHUI ST,WAIALUA,96791,HI,NULL,NULL,0,0,0,NULL,0
2523,HI001627,EFS1,15003009901,1965,1,1316100,4387,21.565831,-158.126461,MERBL,EDU1,Waialua High & Interm - Bldg L,67-595A KAHUI ST,WAIALUA,96791,HI,NULL,NULL,0,0,0,NULL,0
2524,HI001628,EFS1,15003009901,1978,2,3767700,12559,21.565831,-158.126461,MERBL,EDU1,Waialua High & Interm - Bldg S,67-595A KAHUI ST,WAIALUA,96791,HI,NULL,NULL,0,0,0,NULL,0
2525,HI001629,EFS1,15003009901,1980,2,8297100,27657,21.565831,-158.126461,MERBL,EDU1,Waialua High & Interm - Bldg T,67-595A KAHUI ST,WAIALUA,96791,HI,NULL,NULL,0,0,0,NULL,0
2526,HI001630,EFS1,15003009901,1985,1,1998300,6661,21.565831,-158.126461,MERBL,EDU1,Waialua High & Interm - Bldg U,67-595A KAHUI ST,WAIALUA,96791,HI,NULL,NULL,0,0,0,NULL,0
2527,HI001631,EFS1,15003009901,1993,1,1831200,6104,21.565831,-158.126461,MERBL,EDU1,Waialua High & Interm - Bldg V,67-595A KAHUI ST,WAIALUA,96791,HI,NULL,NULL,0,0,0,NULL,0
2528,HI001632,EFS1,15003009901,1971,1,2217600,7392,21.565831,-158.126461,MERBL,EDU1,Waialua High & Interm - Bldg W,67-595A KAHUI ST,WAIALUA,96791,HI,NULL,NULL,0,0,0,NULL,0
2529,HI001633,EFS1,15003009701,1950,1,1342500,4475,21.445894,-158.184531,MERBL,EDU1,Waianae Elementary - Bldg B,85-220 MCARTHUR ST,WAIANAE,96792,HI,NULL,NULL,0,0,0,NULL,0
2530,HI001634,EFS1,15003009701,1949,1,659400,3768,21.445894,-158.184531,WSF1,EDU1,Waianae Elementary - Bldg C,85-220 MCARTHUR ST,WAIANAE,96792,HI,NULL,NULL,0,0,0,NULL,0
2531,HI001635,EFS1,15003009701,1950,1,1239600,4132,21.445894,-158.184531,MERBL,EDU1,Waianae Elementary - Bldg D,85-220 MCARTHUR ST,WAIANAE,96792,HI,NULL,NULL,0,0,0,NULL,0
2532,HI001636,EFS1,15003009701,1965,1,927000,3090,21.445894,-158.184531,MERBL,EDU1,Waianae Elementary - Bldg F,85-220 MCARTHUR ST,WAIANAE,96792,HI,NULL,NULL,0,0,0,NULL,0
2533,HI001637,EFS1,15003009701,1982,2,3253500,10845,21.445894,-158.184531,MERBL,EDU1,Waianae Elementary - Bldg G,85-220 MCARTHUR ST,WAIANAE,96792,HI,NULL,NULL,0,0,0,NULL,0
2534,HI001638,EFS1,15003009701,1969,1,1545900,5153,21.445894,-158.184531,MERBL,EDU1,Waianae Elementary - Bldg L,85-220 MCARTHUR ST,WAIANAE,96792,HI,NULL,NULL,0,0,0,NULL,0
