Name,Address,City,Zipcode,Statea,Building_Cost,Content_Cost,Building_Area,HUSBT,YearBuilt,NumStories,SchoolId,EfClass,Tract,Y,X,Occupancy
Kapiolani Medical Center,1637 BINGHAM ST,HONOLULU,96826,HI,4150000,6225000,13726,WSF1,1965,1,HI000150,EFHM,15003005700,21.299408,-157.832805,COM6
Kapiolani Medical Center,1637 BINGHAM ST,HONOLULU,96826,HI,4150000,6225000,13726,CERBH,1977,7,HI000151,EFHM,15003005700,21.299408,-157.832805,COM6
Kapiolani Medical Center at Pali Momi,98-1079 MOANALUA RD,AIEA,96701,HI,4150000,6225000,13726,CERBM,1989,1,HI000152,EFHM,15003005700,21.383485,-157.93851,COM6
Kuakini Medical Center,347 N KUAKINI ST,HONOLULU,96817,HI,4150000,6225000,13726,CERBH,1968,6,HI000157,EFHM,15003005700,21.32171,-157.858251,COM6
Kuakini Medical Center,347 N KUAKINI ST,HONOLULU,96817,HI,4150000,6225000,13726,CERBH,1978,9,HI000158,EFHM,15003005700,21.32171,-157.858251,COM6
Kuakini Medical Center,347 N KUAKINI ST,HONOLULU,96817,HI,4150000,6225000,13726,CERBH,1979,10,HI000159,EFHM,15003005700,21.32171,-157.858251,COM6
Kuakini Medical Center,347 N KUAKINI ST,HONOLULU,96817,HI,4150000,6225000,13726,CERBL,1938,2,HI000160,EFHM,15003005700,21.32171,-157.858251,COM6
Kuakini Medical Center,347 N KUAKINI ST,HONOLULU,96817,HI,4150000,6225000,13726,CERBL,1955,1,HI000161,EFHM,15003005700,21.32171,-157.858251,COM6
Kuakini Medical Center,347 N KUAKINI ST,HONOLULU,96817,HI,4150000,6225000,13726,CERBL,1932,1,HI000162,EFHM,15003005700,21.32171,-157.858251,COM6
Kuakini Medical Center,347 N KUAKINI ST,HONOLULU,96817,HI,4150000,6225000,13726,CERBL,1937,1,HI000163,EFHM,15003005700,21.32171,-157.858251,COM6
Kuakini Medical Center,347 N KUAKINI ST,HONOLULU,96817,HI,4150000,6225000,13726,CERBL,1932,1,HI000164,EFHM,15003005700,21.32171,-157.858251,COM6
Lanakila Health Center,1700 LANAKILA AVE,HONOLULU,96817,HI,4150000,6225000,13726,WSF1,1980,1,HI000171,EFHM,15003005700,21.327901,-157.861338,COM6
Leeward Health Center,860 4TH ST,PEARL CITY,96782,HI,4150000,6225000,13726,WSF1,1980,1,HI000187,EFHM,15003005700,21.392836,-157.9695,COM6
Maluhia Elderly Care,1027 HALA DR,HONOLULU,96817,HI,4150000,6225000,13726,WSF1,1931,1,HI000190,EFHM,15003005700,21.329169,-157.861335,COM6
Maunalani Hospital,5113 MAUNALANI CIR,HONOLULU,96816,HI,4150000,6225000,13726,WSF1,1980,1,HI000192,EFHM,15003005700,21.297345,-157.789022,COM6
Queen's Health Care Center,377 KEAHOLE ST,HONOLULU,96825,HI,4150000,6225000,13726,CERBL,1999,2,HI000197,EFHM,15003005700,21.285026,-157.706824,COM6
Queen's Health Care Center,91-599 FARRINGTON HWY,KAPOLEI,96707,HI,4150000,6225000,13726,CERBL,1982,1,HI000198,EFHM,15003005700,21.332149,-158.081041,COM6
Shriners Hospital,1310 PUNAHOU ST,HONOLULU,96814,HI,4150000,6225000,13726,CERBL,1980,1,HI000203,EFHM,15003005700,21.301196,-157.835755,COM6
St. Francis Medical Center - West,2139 FORT WEAVER RD,EWA BEACH,96706,HI,4150000,6225000,13726,CERBM,1989,5,HI000206,EFHM,15003005700,21.370859,-158.027285,COM6
St. Francis Medical Center - West,2139 FORT WEAVER RD,EWA BEACH,96706,HI,4150000,6225000,13726,CERBL,1990,1,HI000207,EFHM,15003005700,21.370859,-158.027285,COM6
Straub Clinic & Hospital,888 S KING ST,HONOLULU,96813,HI,4150000,6225000,13726,CERBM,1933,4,HI000208,EFHM,15003005700,21.302669,-157.850598,COM6
Straub Clinic & Hospital,888 S KING ST,HONOLULU,96813,HI,4150000,6225000,13726,CERBM,1971,4,HI000209,EFHM,15003005700,21.302669,-157.850598,COM6
Straub Clinic & Hospital,888 S KING ST,HONOLULU,96813,HI,4150000,6225000,13726,CERBH,1970,7,HI000210,EFHM,15003005700,21.302669,-157.850598,COM6
Straub Clinic & Hospital,888 S KING ST,HONOLULU,96813,HI,4150000,6225000,13726,CERBM,1950,4,HI000211,EFHM,15003005700,21.302669,-157.850598,COM6
Straub Clinic & Hospital,888 S KING ST,HONOLULU,96813,HI,4150000,6225000,13726,CERBH,1962,8,HI000212,EFHM,15003005700,21.302669,-157.850598,COM6
Straub Financial District,222 QUEEN ST,HONOLULU,96813,HI,4150000,6225000,13726,MERBL,1950,1,HI000213,EFHM,15003005700,21.306816,-157.861789,COM6
Straub Hawaii Kai Family Health,7192 KALANIANAOLE HWY,HONOLULU,96825,HI,4150000,6225000,13726,WSF1,1980,1,HI000214,EFHM,15003005700,21.278486,-157.705428,COM6
Straub Kailua Family Health Center,641 KAILUA RD,KAILUA,96734,HI,4150000,6225000,13726,MERBL,1960,2,HI000215,EFHM,15003005700,21.389571,-157.740046,COM6
Straub Kaneohe Family Health,46-56 KAMEHAMEHA HWY,KANEOHE,96744,HI,4150000,6225000,13726,MERBL,1982,2,HI000216,EFHM,15003005700,21.420817,-157.805694,COM6
Straub Kaneohe Family Health,46-56 KAMEHAMEHA HWY,KANEOHE,96744,HI,4150000,6225000,13726,MERBL,1982,1,HI000217,EFHM,15003005700,21.420817,-157.805694,COM6
Straub Kapolei Family Health,91-599 FARRINGTON HWY,KAPOLEI,96707,HI,4150000,6225000,13726,WSF2,1999,2,HI000218,EFHM,15003005700,21.339217,-158.07581,COM6
Straub Mililani Family Health,95-1249 MEHEULA PKWY,MILILANI,96789,HI,4150000,6225000,13726,MERBL,1987,1,HI000219,EFHM,15003005700,21.454907,-158.006905,COM6
Straub Mililani Family Health,95-1249 MEHEULA PKWY,MILILANI,96789,HI,4150000,6225000,13726,MERBL,1987,2,HI000220,EFHM,15003005700,21.454907,-158.006905,COM6
Straub Mililani Family Health,95-1249 MEHEULA PKWY,MILILANI,96789,HI,4150000,6225000,13726,MERBL,1987,1,HI000221,EFHM,15003005700,21.454907,-158.006905,COM6
Straub Mililani Family Health,95-1249 MEHEULA PKWY,MILILANI,96789,HI,4150000,6225000,13726,MERBL,1987,1,HI000222,EFHM,15003005700,21.454907,-158.006905,COM6
Straub Mililani Family Health,95-1249 MEHEULA PKWY,MILILANI,96789,HI,4150000,6225000,13726,MERBL,1988,1,HI000223,EFHM,15003005700,21.454907,-158.006905,COM6
Straub Mililani Family Health,95-1249 MEHEULA PKWY,MILILANI,96789,HI,4150000,6225000,13726,MERBL,1993,1,HI000224,EFHM,15003005700,21.454907,-158.006905,COM6
Straub Pearl Ridge,98-151 PALI MOMI ST,AIEA,96701,HI,4150000,6225000,13726,MERBL,1977,2,HI000225,EFHM,15003005700,21.381801,-157.939798,COM6
Straub Pearl Ridge,98-151 PALI MOMI ST,AIEA,96701,HI,4150000,6225000,13726,MERBL,1977,1,HI000226,EFHM,15003005700,21.381801,-157.939798,COM6
Wahiawa Clinic,910 CALIFORNIA AVE,WAHIAWA,96786,HI,4150000,6225000,13726,WSF1,1980,1,HI000229,EFHM,15003005700,21.498047,-158.025479,COM6
Waianae Health Center,86-234 FARRINGTON HWY,WAIANAE,96792,HI,4150000,6225000,13726,WSF1,1969,1,HI000231,EFHM,15003005700,21.430048,-158.180796,COM6
Waipahu Clinic,94-275 MOKUOLA ST,WAIPAHU,96797,HI,4150000,6225000,13726,CERBL,1993,3,HI000233,EFHM,15003005700,21.385686,-158.002869,COM6
Waipahu Clinic,94-275 MOKUOLA ST,WAIPAHU,96797,HI,4150000,6225000,13726,CERBL,1998,1,HI000234,EFHM,15003005700,21.385686,-158.002869,COM6
Windward Health Center,45-691 KEAAHALA RD,KANEOHE,96744,HI,4150000,6225000,13726,WSF1,1980,1,HI000235,EFHM,15003005700,21.408735,-157.810525,COM6
Leahi Hospital - Nurse Qtr #14,3675 Kilauea Ave.,Honolulu,96816,HI,3688000,5532000,12198,SECBL,1980,1,HI000177,EFHM,15003005700,21.27340226,-157.8009899,COM6
Leahi Hospital Young Building -  Hospit*,3675 Kilauea Ave.,Honolulu,96816,HI,2250000,3375000,7442,SECBL,1980,1,HI000184,EFHM,15003005700,21.27340226,-157.8009899,COM6
Leahi Hospital Young Building -  Dr. Tr*,3675 Kilauea Ave.,Honolulu,96816,HI,2115200,3172800,6996,SECBL,1980,2,HI000183,EFHM,15003005700,21.27340226,-157.8009899,COM6
Leahi Hospital - Med Res Qtr#3,3675 Kilauea Ave.,Honolulu,96816,HI,796000,1194000,2633,SECBL,1980,1,HI000176,EFHM,15003005700,21.27340226,-157.8009899,COM6
Leahi Hospital - Staff Res #12 -  Alexa*,3675 Kilauea Ave.,Honolulu,96816,HI,748000,1122000,2474,SECBL,1980,1,HI000178,EFHM,15003005700,21.27340226,-157.8009899,COM6
Kula Hospital,100 Keokea Place,Kula,96790,HI,65205,97807.5,216,CECBM,1936,5,HI000165,EFHM,15009030301,20.701411,-156.357402,COM6
Maui Memorial Hospital,221 Mahalani Street,Wailuku,96793,HI,25875000,38812500,85580,CECBL,2006,3,HI000191,EFHL,15009031000,20.884141,-156.48945,COM6
Castle Medical Center,640 Ulukahiki St,Kailua,96734,HI,16800000,25200000,55565,CERBL,2002,3,HI000068,EFHL,15003011000,21.38039,-157.75774,COM6
Hawaii State Hospital,45-691 Keaahala Rd,Kaneohe,96744,HI,16800000,25200000,55565,WSF1,NULL,1,HI000070,EFHL,15003010503,21.40551,-157.81356,COM6
Kaiser Honolulu Clinic,1010 Pensacola St,Honolulu,96814,HI,16800000,25200000,55565,CERBM,NULL,1,HI000052,EFHL,15003003501,21.30111,-157.84615,COM6
Kaiser Kapolei Clinic,91-599 Farrington Hwy,Kapolei,96707,HI,16800000,25200000,55565,WSF2,1999,2,HI000092,EFHL,15003008614,21.34637,-158.07433,COM6
Kaiser Moanalua MC,3288 Moanalua Rd,Honolulu,96819,HI,16800000,25200000,55565,CERBL,NULL,1,HI000032,EFHL,15003006701,21.36341,-157.89951,COM6
Kapiolani MC - Pali Momi,98-1079 Moanalua Rd,Aiea,96701,HI,16800000,25200000,55565,CERBM,1989,1,HI000108,EFHL,15003007808,21.38349,-157.93851,COM6
Kapiolani Medical Center,1637 Bingham St,Honolulu,96826,HI,16800000,25200000,55565,CERBH,1976,12,HI000056,EFHL,15003002600,21.29941,-157.83281,COM6
