,NAME,ADDRESS,CITY,ZIPCODE,STATEA,BUILDING_COST,CONTENT_COST,BUILDING_AREA,HUSBT,YEARBUILT,NUMSTORIES,SCHOOLID,EFCLASS,TRACT,LATITUDE,LONGITUDE,OCCUPANCY,CENSUSBLOCK,TERRAINID
743,Radford High - Bldg I,4361 SALT LAKE BLVD,HONOLULU,96819,HI,1997700,1997700,6659,MERBL,1980,2,HI001510,EFS1,15003007400,21.359431,-157.929088,EDU1,1.5003E+14,4
744,Blanche Pope Elementary - Bldg C,41-133 HULI ST WAIM,WAIMANALO,96795,HI,4614900,4614900,15383,MERBL,1975,2,HI001592,EFS1,15003011302,21.328112,-157.695197,EDU1,1.50039E+14,4
745,Blanche Pope Elementary - Bldg A,41-133 HULI ST WAIM,WAIMANALO,96795,HI,3596100,3596100,11987,MERBL,1965,2,HI001588,EFS1,15003011302,21.328112,-157.695197,EDU1,1.50039E+14,4
746,Blanche Pope Elementary - Bldg B,41-133 HULI ST WAIM,WAIMANALO,96795,HI,3402000,3402000,11340,MERBL,1969,2,HI001590,EFS1,15003011302,21.328112,-157.695197,EDU1,1.50039E+14,4
747,Blanche Pope Elementary - Bldg C,41-133 Huli St ,Waimanalo,96795,HI,4614.9,4614.9,15383,MERBL,1975,2,HI000349,EFS1,15003940001,21.32811,-157.6952,EDU1,1.50039E+14,4
748,Blanche Pope El - Bldg A,41-133 Huli St ,Waimanalo,96795,HI,3596.1,3596.1,11987,MERBL,1965,2,HI000347,EFS1,15003940001,21.32811,-157.6952,EDU1,1.50039E+14,4
749,Blanche Pope El - Bldg B,41-133 Huli St ,Waimanalo,96795,HI,3402,3402,11340,MERBL,1969,2,HI000348,EFS1,15003940001,21.32811,-157.6952,EDU1,1.50039E+14,4
750,Highlands Intermediate - Bldg A,1460 HOOLAULEA ST,PEARL CITY,96782,HI,4601400,4601400,15338,MERBL,1959,2,HI001670,EFS1,15003008007,21.400958,-157.962619,EDU1,1.5003E+14,4
751,Highlands Intermediate - Bldg D,1460 HOOLAULEA ST,PEARL CITY,96782,HI,4083600,4083600,13612,MERBL,1961,1,HI001673,EFS1,15003008007,21.400958,-157.962619,EDU1,1.5003E+14,4
752,Highlands Intermediate - Bldg B,1460 HOOLAULEA ST,PEARL CITY,96782,HI,3836400,3836400,12788,MERBL,1959,2,HI001671,EFS1,15003008007,21.400958,-157.962619,EDU1,1.5003E+14,4
753,Pearl City Highlands Elem - Bldg A,1419 WAIMANO HOME RD,PEARL CITY,96782,HI,1941300,1941300,6471,MERBL,1958,1,HI001470,EFS1,15003008007,21.403094,-157.965466,EDU1,1.5003E+14,4
754,Pearl City Highlands Elem - Bldg B,1419 WAIMANO HOME RD,PEARL CITY,96782,HI,1941300,1941300,6471,MERBL,1958,1,HI001471,EFS1,15003008007,21.403094,-157.965466,EDU1,1.5003E+14,4
755,Pearl City Highlands Elem - Bldg C,1419 WAIMANO HOME RD,PEARL CITY,96782,HI,1941300,1941300,6471,MERBL,1960,1,HI001472,EFS1,15003008007,21.403094,-157.965466,EDU1,1.5003E+14,4
756,Pearl City Highlands Elem - Bldg D,1419 WAIMANO HOME RD,PEARL CITY,96782,HI,1941300,1941300,6471,MERBL,1960,1,HI001473,EFS1,15003008007,21.403094,-157.965466,EDU1,1.5003E+14,4
757,Highlands Intermediate - Bldg G,1460 HOOLAULEA ST,PEARL CITY,96782,HI,1939800,1939800,6466,MERBL,1963,1,HI001674,EFS1,15003008007,21.400958,-157.962619,EDU1,1.5003E+14,4
758,Highlands Intermediate - Bldg C,1460 HOOLAULEA ST,PEARL CITY,96782,HI,1899300,1899300,6331,MERBL,1961,1,HI001672,EFS1,15003008007,21.400958,-157.962619,EDU1,1.5003E+14,4
759,Pearl City Highlands Elem - Bldg E,1419 WAIMANO HOME RD,PEARL CITY,96782,HI,1776900,1776900,5923,MERBL,1958,1,HI001474,EFS1,15003008007,21.403094,-157.965466,EDU1,1.5003E+14,4
760,Highlands Intermediate - Bldg H,1460 HOOLAULEA ST,PEARL CITY,96782,HI,1292400,1292400,4308,MERBL,1963,1,HI001675,EFS1,15003008007,21.400958,-157.962619,EDU1,1.5003E+14,4
761,Kaimuki Middle - Bldg C,4031 KILAUEA AVE,HONOLULU,96816,HI,4427700,4427700,14759,MERBL,1959,2,HI001199,EFS1,15003000700,21.26989,-157.79698,EDU1,1.5003E+14,4
762,Kaimuki Middle - Bldg J,4031 KILAUEA AVE,HONOLULU,96816,HI,4339800,4339800,14466,MERBL,1957,2,HI001203,EFS1,15003000700,21.26989,-157.79698,EDU1,1.5003E+14,4
763,Kaimuki Middle - Bldg K,4031 KILAUEA AVE,HONOLULU,96816,HI,3019200,3019200,10064,MERBL,1960,2,HI001774,EFS1,15003000700,21.26989,-157.79698,EDU1,1.5003E+14,4
764,Kaimuki Middle - Bldg H,4031 KILAUEA AVE,HONOLULU,96816,HI,2157600,2157600,7192,MERBL,1957,1,HI001201,EFS1,15003000700,21.26989,-157.79698,EDU1,1.5003E+14,4
765,Kaimuki Middle - Bldg N,4031 KILAUEA AVE,HONOLULU,96816,HI,1808400,1808400,6028,MERBL,1956,1,HI001778,EFS1,15003000700,21.26989,-157.79698,EDU1,1.5003E+14,4
766,Kaimuki Middle - Bldg R,4031 KILAUEA AVE,HONOLULU,96816,HI,1737300,1737300,5791,MERBL,1969,1,HI001786,EFS1,15003000700,21.26989,-157.79698,EDU1,1.5003E+14,4
767,Kaimuki Middle - Bldg B,4031 KILAUEA AVE,HONOLULU,96816,HI,1103100,1103100,3677,MERBL,1963,1,HI001198,EFS1,15003000700,21.26989,-157.79698,EDU1,1.5003E+14,4
768,Kaimuki Middle - Bldg L,4031 KILAUEA AVE,HONOLULU,96816,HI,1029600,1029600,3432,MERBL,1963,1,HI001777,EFS1,15003000700,21.26989,-157.79698,EDU1,1.5003E+14,4
769,Kaimuki Middle - Bldg P1,4031 KILAUEA AVE,HONOLULU,96816,HI,268800,268800,896,MERBL,1967,1,HI001780,EFS1,15003000700,21.26989,-157.79698,EDU1,1.5003E+14,4
770,Kaimuki Middle - Bldg P2,4031 KILAUEA AVE,HONOLULU,96816,HI,268800,268800,896,MERBL,1967,1,HI001783,EFS1,15003000700,21.26989,-157.79698,EDU1,1.5003E+14,4
771,Kaimuki Middle - Bldg P3,4031 KILAUEA AVE,HONOLULU,96816,HI,268800,268800,896,MERBL,1967,1,HI001784,EFS1,15003000700,21.26989,-157.79698,EDU1,1.5003E+14,4
772,Kaimuki Middle - Bldg P4,4031 KILAUEA AVE,HONOLULU,96816,HI,268800,268800,896,MERBL,1967,1,HI001785,EFS1,15003000700,21.26989,-157.79698,EDU1,1.5003E+14,4
773,Iliahi Elementary - Bldg C,2035 CALIFORNIA AVE,WAHIAWA,96786,HI,4251600,4251600,14172,MERBL,1965,2,HI001126,EFS1,15003009200,21.506227,-157.999094,EDU1,1.5003E+14,4
774,Iliahi Elementary - Bldg A,2035 CALIFORNIA AVE,WAHIAWA,96786,HI,3961800,3961800,13206,MERBL,1964,2,HI001125,EFS1,15003009200,21.506227,-157.999094,EDU1,1.5003E+14,4
775,Iliahi Elementary - Bldg D,2035 CALIFORNIA AVE,WAHIAWA,96786,HI,1974900,1974900,6583,MERBL,1969,1,HI001127,EFS1,15003009200,21.506227,-157.999094,EDU1,1.5003E+14,4
776,Solomon Elementary - Bldg C,1701 *WILIKINA DR,SCHOFIELD BARRACKS,96857,HI,4223400,4223400,14078,MERBL,1969,2,HI001566,EFS1,15003009501,21.491057,-158.0725,EDU1,1.5003E+14,4
777,Solomon Elementary - Bldg E,1701 *WILIKINA DR,SCHOFIELD BARRACKS,96857,HI,3713400,3713400,12378,MERBL,1976,2,HI001567,EFS1,15003009501,21.491057,-158.0725,EDU1,1.5003E+14,4
778,Solomon Elementary - Bldg A,1701 *WILIKINA DR,SCHOFIELD BARRACKS,96857,HI,1752000,1752000,5840,MERBL,1969,2,HI001564,EFS1,15003009501,21.491057,-158.0725,EDU1,1.5003E+14,4
779,Maili Elementary - Bldg D,87-360 KULAAUPUNI ST,WAIANAE,96792,HI,4190100,4190100,13967,MERBL,1964,2,HI001324,EFS1,15003009603,21.420021,-158.171987,EDU1,1.5003E+14,4
780,Maili Elementary - Bldg B,87-360 KULAAUPUNI ST,WAIANAE,96792,HI,1983900,1983900,6613,MERBL,1963,1,HI001322,EFS1,15003009603,21.420021,-158.171987,EDU1,1.5003E+14,4
781,Maili Elementary - Bldg C,87-360 KULAAUPUNI ST,WAIANAE,96792,HI,1983900,1983900,6613,MERBL,1963,1,HI001323,EFS1,15003009603,21.420021,-158.171987,EDU1,1.5003E+14,4
782,Maili Elementary - Bldg A,87-360 KULAAUPUNI ST,WAIANAE,96792,HI,1843200,1843200,6144,MERBL,1963,1,HI001321,EFS1,15003009603,21.420021,-158.171987,EDU1,1.5003E+14,4
