OBJECTID,CensusBlock,SURFACEROUGHNESS,SRIndex
2574,150010213001140,0.03200000,0.03000000
2575,150010213001159,0.03100000,0.03000000
2576,150010213002048,0.31200000,0.31000000
2577,150010213002037,0.12100000,0.12000000
2578,150010213002001,0.30900000,0.31000000
2579,150010219021342,0.48900000,0.49000000
2580,150010219021414,0.61300000,0.61000000
2581,150010219021024,0.38500000,0.38000000
2582,150010219021104,0.32400000,0.32000000
2583,150010219021121,0.54000000,0.54000000
2584,150010219021098,0.42900000,0.43000000
2585,150010219021073,0.30000000,0.30000000
2586,150010219021118,0.27200000,0.27000000
2587,150010219021029,0.63900000,0.64000000
2588,150010219021157,0.29900000,0.30000000
2589,150010219021129,0.53100000,0.53000000
2590,150010219021153,0.70100000,0.70000000
2591,150010219021150,0.58400000,0.58000000
2592,150010212022728,0.17700000,0.18000000
2593,150010212022408,0.14600000,0.15000000
2594,150010212023202,0.44500000,0.44000000
2595,150010212023143,0.49700000,0.50000000
2596,150010212023145,0.30700000,0.31000000
2597,150010212023185,0.46100000,0.46000000
2598,150010212024080,0.51000000,0.51000000
2599,150010212024083,0.49000000,0.49000000
2600,150010212022373,0.17500000,0.18000000
2601,150010212022775,0.41200000,0.41000000
2602,150010212024007,0.09900000,0.10000000
2603,150010212022054,0.46400000,0.46000000
2604,150010218002079,0.11800000,0.12000000
2605,150010218002006,0.12700000,0.13000000
2606,150010218004103,0.80000000,0.80000000
2607,150010218002032,0.12900000,0.13000000
2608,150010218001005,0.18300000,0.18000000
2609,150010218004058,0.38500000,0.38000000
2610,150010218004063,0.40200000,0.40000000
2611,150010218001015,0.44100000,0.44000000
2612,150010218004035,0.46000000,0.46000000
2613,150010218004047,0.21800000,0.22000000
2614,150010218003010,0.35000000,0.35000000
2615,150010218003021,0.44500000,0.44000000
2616,150010218004081,0.62000000,0.62000000
2617,150010201001208,0.27500000,0.28000000
2618,150010201001253,0.25600000,0.26000000
2619,150010201001230,0.19200000,0.19000000
2620,150010201001239,0.18400000,0.18000000
2621,150010201001254,0.13400000,0.13000000
2622,150010201001264,0.19500000,0.20000000
2623,150010201001256,0.25100000,0.25000000
2624,150010201001014,0.11400000,0.11000000
2625,150010201001284,0.24200000,0.24000000
2626,150010201001313,0.24100000,0.24000000
2627,150010201001268,0.32900000,0.33000000
2628,150010201001340,0.18100000,0.18000000
2629,150010201001041,0.25700000,0.26000000
2630,150010201002181,0.18700000,0.19000000
2631,150010201002136,0.16700000,0.17000000
2632,150010201002116,0.15300000,0.15000000
2633,150010201001002,0.20900000,0.21000000
2634,150010201001147,0.12000000,0.12000000
2635,150010217023102,0.11300000,0.11000000
2636,150010217023008,0.13000000,0.13000000
2637,150010217023100,0.10100000,0.10000000
2638,150010217041013,0.21400000,0.21000000
2639,150010217044015,0.32900000,0.33000000
2640,150010217021038,0.24500000,0.24000000
2641,150010217023127,0.08500000,0.08000000
2642,150010217023054,0.10900000,0.11000000
2643,150010217023177,0.12800000,0.13000000
2644,150010206002003,0.35900000,0.36000000
2645,150010206002160,0.45900000,0.46000000
2646,150010209002009,0.39800000,0.40000000
2647,150010207012019,0.54300000,0.54000000
2648,150010209003011,0.44800000,0.45000000
2649,150010206002120,0.49000000,0.49000000
2650,150010206004053,0.25400000,0.25000000
2651,150010202021054,0.04400000,0.04000000
2652,150010205003019,0.43600000,0.44000000
2653,150010205003013,0.49000000,0.49000000
2654,150010206002032,0.37200000,0.37000000
2655,150010204003008,0.51600000,0.52000000
2656,150010204003004,0.49900000,0.50000000
2657,150010204001054,0.47100000,0.47000000
2658,150010204001051,0.43600000,0.44000000
2659,150010202021133,0.05100000,0.05000000
2660,150010202021119,0.05700000,0.06000000
2661,150010202021195,0.13600000,0.14000000
2662,150010212021117,0.02500000,0.03000000
2663,150010212021112,0.05600000,0.06000000
2664,150010212022487,0.17400000,0.17000000
2665,150010212022480,0.18100000,0.18000000
2666,150010212022621,0.16700000,0.17000000
2667,150010212023188,0.13200000,0.13000000
2668,150010212022778,0.50900000,0.51000000
2669,150010212024001,0.09300000,0.09000000
2670,150010212022675,0.11700000,0.12000000
2671,150010212022687,0.13700000,0.14000000
2672,150010212022686,0.15900000,0.16000000
2673,150010212022768,0.12200000,0.12000000
2674,150010212022106,0.11000000,0.11000000
2675,150010210033040,0.39600000,0.40000000
2676,150010210033024,0.39100000,0.39000000
